Titre,Lien_du_titre,eventresultdate,eventresultdate1,eventresultdate2,location_lien,location,location3,eventresultgenreitem,eventresultartistlink,prix
"
      GLORYHAMMER & BEAST IN BLACK
    ",https://www.ticketmaster.fr/fr/manifestation/gloryhammer-beast-in-black-billet/idmanif/562398,"
      4 février 2024
    ","
      4 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/garage/idsite/3879,GARAGE,SARREBRUCK/SARRE,CONCERT - HARD METAL,"
          BEAST IN BLACK
        ","
      à partir de
      50.71 €"
"
      REAL MADRID / CELTA VIGO
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-celta-vigo-billet/idmanif/560229,"
      9 mars 2024
    ","
      9 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      143.00 €"
"
      NAIM
    ",https://www.ticketmaster.fr/fr/manifestation/naim-billet/idmanif/548820,"
      4 mai 2024
    ","
      4 mai 2024
    ",,https://www.ticketmaster.fr/fr/salle/chapito-casino-2000/idsite/5498,CHAPITO - CASINO 2000,MONDORF LES BAINS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,"
          NAIM
        ","
      à partir de
      39.00 €"
"
      BATTLE BEAST
    ",https://www.ticketmaster.fr/fr/manifestation/battle-beast-billet/idmanif/562226,"
      8 février 2024
    ","
      8 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - HARD METAL,"
          BATTLE BEAST
        ","
      à partir de
      31.20 €"
"
      WISHBONE ASH
    ",https://www.ticketmaster.fr/fr/manifestation/wishbone-ash-billet/idmanif/567685,"
      9 février 2024
    ","
      9 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/centre-culturel-dudelange-opderschmelz/idsite/9960,CENTRE CULTUREL DUDELANGE OPDERSCHMELZ,DUDELANGE,CONCERT - POP ROCK FOLK,"
          WISHBONE ASH
        ","
      à partir de
      27.20 €"
"
      Goldmen
    ",https://www.ticketmaster.fr/fr/manifestation/goldmen-billet/idmanif/528823,"
      9 février 2024
    ","
      9 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/chapito-casino-2000/idsite/5498,CHAPITO - CASINO 2000,MONDORF LES BAINS,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          GOLDMEN
        ","
      à partir de
      39.00 €"
"
      FC BARCELONE / GRANADA
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-granada-billet/idmanif/560700,"
      10 février 2024
    ","
      10 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      66.00 €"
"
      THE BOOTLEG BEATLES
    ",https://www.ticketmaster.fr/fr/manifestation/the-bootleg-beatles-billet/idmanif/554608,"
      13 février 2024
    ","
      13 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          THE BOOTLEG BEATLES
        ","
      à partir de
      35.20 €"
"
      CALOGERO
    ",https://www.ticketmaster.fr/fr/manifestation/calogero-billet/idmanif/554305,"
      2 mars 2024
    ","
      2 mars 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - VARIETE ET CHANSON FRANCAISE,"
          CALOGERO
        ","
      à partir de
      59.00 €"
"
      FREEZE CORLEONE
    ",https://www.ticketmaster.fr/fr/manifestation/freeze-corleone-billet/idmanif/557707,"
      16 février 2024
    ","
      16 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-main-hall/idsite/6566,ROCKHAL - MAIN HALL,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"
          FREEZE CORLEONE
        ","
      à partir de
      42.50 €"
"
      ATLETICO MADRID / LAS PALMAS
    ",https://www.ticketmaster.fr/fr/manifestation/atletico-madrid-las-palmas-billet/idmanif/560787,"
      17 février 2024
    ","
      17 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/civitas-metropolitano-madrid/idsite/17987,CIVITAS METROPOLITANO MADRID,MADRID,SPORT - FOOTBALL,"
          ATLETICO MADRID
        ","
      à partir de
      71.50 €"
"
      FESTIVAL INTERNATIONAL VIVE LA MAGIE
    ",https://www.ticketmaster.fr/fr/manifestation/festival-international-vive-la-magie-billet/idmanif/552038,"
    Du
    
      17 février 2024
    
    au
    
      18 février 2024
    ","
      17 février 2024
    ","
      18 février 2024
    ",https://www.ticketmaster.fr/fr/salle/centre-culturel-d-auderghem/idsite/20314,CENTRE CULTUREL D'AUDERGHEM,BRUXELLES,SPECTACLE ET COMEDIE MUSICALE - MAGIE,"
          FESTIVAL INTERNATIONAL VIVE LA MAGIE
        ","
      à partir de
      34.50 €"
"
      SCARY POCKETS
    ",https://www.ticketmaster.fr/fr/manifestation/scary-pockets-billet/idmanif/565866,"
      17 février 2024
    ","
      17 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - JAZZ,"
          SCARY POCKETS
        ","
      à partir de
      30.20 €"
"
      ROCK IN RIO LISBOA 2024 - WEEKEND PASS
    ",https://www.ticketmaster.fr/fr/manifestation/rock-in-rio-lisboa-2024-weekend-pass-billet/idmanif/566842,"
    Du
    
      15 juin 2024
    
    au
    
      23 juin 2024
    ","
      15 juin 2024
    ","
      23 juin 2024
    ",https://www.ticketmaster.fr/fr/salle/parque-urbano-do-tejo-e-do-trancao/idsite/20539,PARQUE URBANO DO TEJO E DO TRANCAO,LISBOA,FESTIVAL - FESTIVAL MUSIQUE,"
          ED SHEERAN
        ","
      à partir de
      147.00 €"
"
      TSEW THE KID
    ",https://www.ticketmaster.fr/fr/manifestation/tsew-the-kid-billet/idmanif/561257,"
      23 février 2024
    ","
      23 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/den-atelier/idsite/1898,DEN ATELIER,LUXEMBOURG,CONCERT - RAP HIP-HOP SLAM,"
          TSEW THE KID
        ","
      à partir de
      30.20 €"
"
      FC BARCELONE / GETAFE
    ",https://www.ticketmaster.fr/fr/manifestation/fc-barcelone-getafe-billet/idmanif/560702,"
      24 février 2024
    ","
      24 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-olympique-lluis-companys/idsite/20447,STADE OLYMPIQUE LLUIS COMPANYS,BARCELONE,SPORT - FOOTBALL,"
          FC BARCELONE
        ","
      à partir de
      82.50 €"
"
      REAL MADRID / SEVILLA
    ",https://www.ticketmaster.fr/fr/manifestation/real-madrid-sevilla-billet/idmanif/560227,"
      24 février 2024
    ","
      24 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/stade-santiago-bernabeu-madrid/idsite/13710,STADE SANTIAGO BERNABEU - MADRID,MADRID,SPORT - FOOTBALL,"
          REAL MADRID CF
        ","
      à partir de
      187.00 €"
"
      CENDRILLON
    ",https://www.ticketmaster.fr/fr/manifestation/cendrillon-billet/idmanif/562445,"
      24 février 2024
    ","
      24 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/theatre-de-la-louviere/idsite/20481,THEATRE DE LA LOUVIERE,LA LOUVIÈRE,THEATRE - COMEDIE,"
          CENDRILLON
        ","
      à partir de
      13.60 €"
"
      ADOS VS PARENTS : MODE D'EMPLOI
    ",https://www.ticketmaster.fr/fr/manifestation/ados-vs-parents-mode-d-emploi-billet/idmanif/562458,"
      24 février 2024
    ","
      24 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/theatre-de-la-louviere/idsite/20481,THEATRE DE LA LOUVIERE,LA LOUVIÈRE,THEATRE - COMEDIE,"
          ADOS VS PARENTS MODE D'EMPLOI
        ","
      à partir de
      21.00 €"
"
      LE CLAN DES DIVORCEES
    ",https://www.ticketmaster.fr/fr/manifestation/le-clan-des-divorcees-billet/idmanif/562519,"
      24 février 2024
    ","
      24 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/theatre-de-la-louviere/idsite/20481,THEATRE DE LA LOUVIERE,LA LOUVIÈRE,THEATRE - COMEDIE,"
          LE CLAN DES DIVORCEES
        ","
      à partir de
      37.20 €"
"
      IAM
    ",https://www.ticketmaster.fr/fr/manifestation/iam-billet/idmanif/554637,"
      26 février 2024
    ","
      26 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - RAP HIP-HOP SLAM,"
          IAM
        ","
      à partir de
      46.50 €"
"
      HOLLY HUMBERSTONE
    ",https://www.ticketmaster.fr/fr/manifestation/holly-humberstone-billet/idmanif/566350,"
      27 février 2024
    ","
      27 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          HOLLY HUMBERSTONE
        ","
      à partir de
      28.20 €"
"
      DIONYSOS
    ",https://www.ticketmaster.fr/fr/manifestation/dionysos-billet/idmanif/565740,"
      28 février 2024
    ","
      28 février 2024
    ",,https://www.ticketmaster.fr/fr/salle/rockhal-club-luxembourg/idsite/6566,ROCKHAL CLUB - LUXEMBOURG,ESCH/ALZETTE,CONCERT - POP ROCK FOLK,"
          DIONYSOS
        ","
      à partir de
      37.70 €"
